log,object,object_pose,regeneration,n_raw,after_regeneration,already_admissible,flipped,dead_zone,after_topdown_cone,after_scene_floor_corridor,after_table_gate,after_wall_sweep,outcome
run_cubo_pared_contacto_yaml_0806.log,rubiks_cube,P3,on,400,42,3,22,358,41,21,8,0,PLACE-FAIL
run_cubo_pared_contacto_yaml_0806.log,rubiks_cube,P4,on,400,23,2,14,377,20,4,2,0,PICK-FAIL
run_cubo_pared_para_ver_0806.log,rubiks_cube,P1,on,400,28,5,9,372,28,14,2,0,PLACE-FAIL
run_cubo_pared_para_ver_0806.log,rubiks_cube,P2,on,400,19,2,9,381,18,7,5,0,PICK-FAIL
run_cubo_pared_para_ver_0806.log,rubiks_cube,P3,on,400,26,3,12,374,24,15,5,0,PLACE-FAIL
run_cubo_pared_para_ver_0806.log,rubiks_cube,P4,on,400,16,4,7,384,16,11,3,0,PLACE-FAIL
run_cubo_peq_pared_0806.log,rubiks_cube,P1,on,400,34,5,15,366,34,27,10,0,PLACE-FAIL
run_cubo_peq_pared_0806.log,rubiks_cube,P2,on,400,11,0,6,389,9,6,5,0,PLACE-FAIL
run_cubo_peq_pared_0806.log,rubiks_cube,P3,on,400,33,0,17,367,29,22,9,0,PLACE-FAIL
run_cubo_peq_pared_0806.log,rubiks_cube,P4,on,400,25,2,14,375,24,11,4,0,OK
run_curobo_estrecho_final_0806.log,calcetines_nike,P1,off,400,,,,,,,,,
run_datasetB.log,black_gloves,P1,off,400,,,,,88,8,1,,PLACE-FAIL
run_datasetB.log,black_gloves,P2,off,400,,,,,82,14,5,,PLACE-FAIL
run_datasetB.log,black_gloves,P3,off,400,,,,,78,17,12,,PLACE-FAIL
run_datasetB.log,black_gloves,P4,off,400,,,,,62,1,,,OK
run_datasetB.log,brown_gloves,P1,off,400,,,,,92,14,4,,
run_demo_jorge.log,brown_gloves,P1,on,400,211,1,117,189,208,170,66,66,OK
run_demo_jorge.log,brown_gloves,P2,on,400,138,0,79,262,138,107,55,55,OK
run_demo_jorge.log,brown_gloves,P3,on,400,162,1,97,238,161,138,74,74,OK
run_demo_jorge.log,brown_gloves,P4,on,400,206,2,128,194,205,183,72,72,OK
