trace,object,discriminator_confidence,survives_box_gates
intento_113459_usb_c_cable,usb_c_cable,0.1351,0
intento_113459_usb_c_cable,usb_c_cable,0.0806,0
intento_113459_usb_c_cable,usb_c_cable,0.1263,1
intento_113459_usb_c_cable,usb_c_cable,0.2472,0
intento_113459_usb_c_cable,usb_c_cable,0.0723,0
intento_113459_usb_c_cable,usb_c_cable,0.0329,1
intento_113459_usb_c_cable,usb_c_cable,0.0719,1
intento_113459_usb_c_cable,usb_c_cable,0.2371,1
intento_113459_usb_c_cable,usb_c_cable,0.013,0
intento_113459_usb_c_cable,usb_c_cable,0.1221,0
intento_113459_usb_c_cable,usb_c_cable,0.0311,1
intento_113459_usb_c_cable,usb_c_cable,0.4132,1
intento_113459_usb_c_cable,usb_c_cable,0.1545,1
intento_113459_usb_c_cable,usb_c_cable,0.1702,0
intento_113459_usb_c_cable,usb_c_cable,0.0881,1
intento_113459_usb_c_cable,usb_c_cable,0.111,1
intento_113459_usb_c_cable,usb_c_cable,0.3916,1
intento_113459_usb_c_cable,usb_c_cable,0.0281,0
intento_113459_usb_c_cable,usb_c_cable,0.0779,1
intento_113459_usb_c_cable,usb_c_cable,0.0699,0
intento_113459_usb_c_cable,usb_c_cable,0.1589,1
intento_113459_usb_c_cable,usb_c_cable,0.7872,1
intento_113459_usb_c_cable,usb_c_cable,0.3228,1
intento_113459_usb_c_cable,usb_c_cable,0.0444,1
intento_113459_usb_c_cable,usb_c_cable,0.7786,1
intento_113459_usb_c_cable,usb_c_cable,0.0758,1
intento_113459_usb_c_cable,usb_c_cable,0.0302,0
intento_113459_usb_c_cable,usb_c_cable,0.0174,1
intento_113459_usb_c_cable,usb_c_cable,0.2161,1
intento_113459_usb_c_cable,usb_c_cable,0.1436,1
intento_113459_usb_c_cable,usb_c_cable,0.0812,1
intento_113459_usb_c_cable,usb_c_cable,0.1517,0
intento_113459_usb_c_cable,usb_c_cable,0.0604,0
intento_113459_usb_c_cable,usb_c_cable,0.1504,0
intento_113459_usb_c_cable,usb_c_cable,0.3676,1
intento_113459_usb_c_cable,usb_c_cable,0.4638,1
intento_113459_usb_c_cable,usb_c_cable,0.0473,1
intento_113459_usb_c_cable,usb_c_cable,0.3086,1
intento_113459_usb_c_cable,usb_c_cable,0.2225,1
intento_113459_usb_c_cable,usb_c_cable,0.0975,0
intento_113459_usb_c_cable,usb_c_cable,0.1577,1
intento_113814_yellow_trim,yellow_trim,0.1417,0
intento_113814_yellow_trim,yellow_trim,0.2538,0
intento_113814_yellow_trim,yellow_trim,0.5181,0
intento_113814_yellow_trim,yellow_trim,0.1043,0
intento_113814_yellow_trim,yellow_trim,0.5469,0
intento_113814_yellow_trim,yellow_trim,0.3575,0
intento_113814_yellow_trim,yellow_trim,0.4848,0
intento_113814_yellow_trim,yellow_trim,0.0694,0
intento_113814_yellow_trim,yellow_trim,0.2077,0
intento_113814_yellow_trim,yellow_trim,0.8835,0
intento_113814_yellow_trim,yellow_trim,0.2978,0
intento_113814_yellow_trim,yellow_trim,0.6167,0
intento_113814_yellow_trim,yellow_trim,0.652,1
intento_113814_yellow_trim,yellow_trim,0.4041,0
intento_113814_yellow_trim,yellow_trim,0.1514,0
intento_113814_yellow_trim,yellow_trim,0.6114,0
intento_113814_yellow_trim,yellow_trim,0.4527,1
